0.475	3.673	0.035	0.139
0.525	3.868	0.017	0.171
0.575	3.776	0.011	0.168
0.625	3.757	0.008	0.162
0.675	3.757	0.009	0.179
0.725	3.632	0.01	0.168
0.775	3.515	0.012	0.155
0.825	3.46	0.012	0.174
0.875	3.474	0.007	0.175
0.925	3.357	0.014	0.166
0.975	3.352	0.013	0.162
1.025	3.28	0.013	0.169
1.075	3.159	0.014	0.164
1.125	3.071	0.007	0.147
1.175	3.012	0.008	0.132
1.225	2.934	0.016	0.148
1.275	2.842	0.013	0.147
1.325	2.809	0.012	0.154
1.375	2.789	0.014	0.138
1.425	2.751	0.011	0.13
1.475	2.681	0.016	0.119
1.525	2.636	0.015	0.149
1.575	2.574	0.014	0.153
1.625	2.582	0.011	0.14
1.675	2.575	0.013	0.135
1.725	2.527	0.008	0.115
1.775	2.468	0.009	0.109
1.825	2.413	0.01	0.111
1.875	2.402	0.013	0.117
1.925	2.349	0.018	0.112
1.975	2.315	0.012	0.105
2.025	2.28	0.005	0.106
2.075	2.246	0.011	0.104
2.125	2.244	0.01	0.11
2.175	2.211	0.01	0.109
2.225	2.201	0.004	0.103
2.275	2.168	0.019	0.099
2.325	2.148	0.006	0.094
2.375	2.104	0.005	0.085
2.425	2.063	0.006	0.088
2.475	2.054	0.008	0.079
2.525	2.034	0.005	0.089
2.575	2.032	0.008	0.091
2.625	2.026	0.009	0.101
2.675	1.986	0.008	0.09
2.725	1.99	0.004	0.093
2.775	1.961	0.015	0.089
2.825	1.939	0.029	0.092
2.875	1.912	0.015	0.103
2.925	1.891	0.005	0.09
2.975	1.896	0.016	0.096
3.025	1.873	0.011	0.09
3.075	1.853	0.039	0.09
3.125	1.851	0.006	0.1
3.175	1.852	0.031	0.11
3.225	1.823	0.007	0.097
3.275	1.818	0.018	0.098
3.325	1.816	0.016	0.095
3.375	1.807	0.017	0.09
3.425	1.779	0.005	0.101
3.475	1.792	0.005	0.09
3.525	1.754	0.023	0.09
3.575	1.742	0.015	0.083
3.625	1.758	0.03	0.12
3.675	1.717	0.03	0.093
3.725	1.739	0.03	0.13
3.775	1.703	0.023	0.094
3.825	1.735	0.006	0.126
3.875	1.681	0.021	0.105
4.025	1.694	0.031	0.085
4.125	1.657	0.009	0.083
4.175	1.658	0.062	0.086
4.225	1.664	0.045	0.093
4.275	1.63	0.03	0.075
4.325	1.636	0.012	0.085
4.525	1.612	0.022	0.076
4.575	1.602	0.048	0.076
4.875	1.556	0.05	0.071
5.125	1.499	0.017	0.032
5.955	1.436	0.023	0.027
6.915	1.404	0.011	0.027
7.267	1.376	0.012	0.036
8.847	1.325	0.011	0.027
9.775	1.281	0.005	0.038
11.344	1.242	0.015	0.021
13.238	1.205	0.011	0.019
14.689	1.216	0.013	0.027
17.108	1.112	0.011	0.038
19.072	1.107	0.01	0.021
20.108	1.094	0.014	0.019
21.097	1.101	0.012	0.032
24.259	1.052	0.01	0.04
26.68	1.056	0.01	0.021
36.75	1.014	0.01	0.016
47.44	1.016	0.029	0.018
64.27	9.45	0.042	0.014
75	9.443	0.017	0.024
86	9.183	0.018	0.019
97.69	9.232	0.019	0.01
