0 0.008 0.3895 0.0117158
1 0.0125 0.3583 0.0160262
2 0.025 0.36215 0.00699804
3 0.035 0.3726 0.00472532
4 0.05 0.36125 0.00362663
5 0.07 0.35895 0.00438826
6 0.09 0.3411 0.00514498
7 0.1 0.34519 0.0175787
8 0.11 0.33835 0.00617545
9 0.125 0.33784 0.0112852
10 0.14 0.330277 0.00518825
11 0.175 0.31533 0.0069225
12 0.18 0.3112 0.00588626
13 0.225 0.286305 0.00450711
14 0.25 0.2773 0.00490397
15 0.275 0.26955 0.00846017
16 0.35 0.21405 0.00568748
17 0.45 0.15763 0.00178191
18 0.4895 0.144288 0.004404
19 0.4955 0.148155 0.004389
20 0.4985 0.142448 0.004314
21 0.5016 0.134925 0.007159
22 0.5047 0.136754 0.003291
23 0.5078 0.136019 0.003228
24 0.511 0.134733 0.003164
25 0.5143 0.135644 0.003085
26 0.5417 0.114984 0.003848
27 0.5528 0.119203 0.003869
28 0.5682 0.105459 0.003883
29 0.5722 0.10151 0.003087
30 0.5763 0.097023 0.003522
31 0.5846 0.09936 0.002186
32 0.5931 0.096855 0.001617
33 0.5975 0.092347 0.002252
34 0.6064 0.091742 0.002149
35 0.6109 0.087397 0.002071
36 0.6156 0.086933 0.0013
37 0.6203 0.088454 0.002555
38 0.6449 0.076167 0.001141
39 0.65 0.072253 0.001274
40 0.6553 0.070422 0.001189
41 0.6606 0.067555 0.001195
42 0.6771 0.061888 0.001148
43 0.6886 0.059965 0.001199
44 0.7066 0.053798 0.00101
45 0.7128 0.051672 0.000975
46 0.7524 0.039158 0.00082
47 0.7739 0.033575 0.000607
48 0.8126 0.027052 0.000501
49 0.8292 0.023912 0.000664
50 0.8377 0.023805 0.000624
51 0.9029 0.014452 0.000445
52 0.913 0.014097 0.000336
53 0.991 0.021117 0.000476
54 1.1609 0.002364 9.9e-05
55 1.1777 0.001891 0.0001
