0.07	1.117	0.30859	0.00401	0.00401
0.07	1.274	0.32001	0.00512	0.0048
0.08	1.117	0.30927	0.00402	0.00402
0.08	1.24	0.31788	0.00381	0.00318
0.1	1.178	0.30981	0.00465	0.00279
0.1	1.292	0.31491	0.00567	0.00315
0.125	1.116	0.30339	0.00334	0.00212
0.125	1.271	0.31194	0.00374	0.00218
0.125	1.378	0.31754	0.00445	0.00286
0.14	1.137	0.30287	0.00485	0.00303
0.14	1.287	0.30563	0.00306	0.00245
0.14	1.374	0.31622	0.00538	0.00316
0.175	1.287	0.29818	0.00328	0.00239
0.18	1.24	0.30196	0.00544	0.00332
0.225	1.289	0.28739	0.00345	0.00259
0.25	1.303	0.27797	0.00278	0.00222
0.275	1.348	0.26768	0.00482	0.00294
0.35	1.145	0.23452	0.00211	0.00141
