    0.3900    2.2500    1.2787    2.1075  0.002763  0.001429  0.001518  0.000506  0.001915  0.000106   -0.9902
    0.3900    3.2500    1.1777    3.0852  0.001615  0.000760  0.001348  0.000289  0.001891  0.000100   -0.9867
    0.4300    2.2500    1.2502    2.0960  0.000374  0.001777  0.003294  0.000599  0.002419  0.000105   -0.9905
    0.4300    3.2500    1.1609    3.0695  0.001682  0.000467  0.001807  0.000095  0.002364  0.000099   -0.9650
    0.4700    2.2500    1.2231    2.2319  0.005052  0.001288  0.002493  0.000399  0.003310  0.000100   -0.9663
    0.5100    2.2500    1.1970    2.0729  0.001976  0.002785  0.005101  0.001059  0.004379  0.000204   -0.9896
    0.5100    2.7500    1.1556    2.7319  0.003764  0.000991  0.003179  0.000199  0.004090  0.000200   -0.9220
    0.5500    2.7500    1.1365    2.5631  0.003387  0.001248  0.004620  0.000277  0.005212  0.000290   -0.9229
    0.5900    1.2500    1.3026    1.1070  0.010215  0.004480  0.013568  0.001223  0.007872  0.000363   -0.9430
    0.5900    2.7500    1.1180    2.6044  0.002988  0.001268  0.006411  0.000372  0.006625  0.000192   -0.9380
    0.6300    0.8000    1.4555    0.7544  0.127324  0.014603 -0.006431  0.003610  0.011300  0.000589   -0.9872
    0.6300    1.2500    1.2504    1.2756  0.019474  0.005740  0.019368  0.001498  0.012494  0.000492   -0.9394
    0.6300    2.2500    1.1252    2.4305  0.006876  0.002564  0.010746  0.000554  0.010465  0.000423   -0.9336
    0.6700    0.8000    1.3568    0.7473  0.185181  0.019671 -0.003593  0.005335  0.020602  0.000801   -0.9837
    0.6700    1.2500    1.2023    1.2650  0.024418  0.008241  0.032614  0.002208  0.020301  0.000697   -0.9385
    0.6700    2.2500    1.1031    2.0323  0.003536  0.007714  0.018187  0.003118  0.014922  0.000553   -0.9924
    0.6700    2.7500    1.0828    2.9206  0.006998  0.001721  0.010648  0.000448  0.012028  0.000325   -0.9565
    0.7100    0.8000    1.2706    0.7402  0.197446  0.028060  0.024207  0.008383  0.033227  0.001329   -0.9805
    0.7100    1.2500    1.1578    1.2543  0.049286  0.011668  0.046403  0.003207  0.032797  0.001100   -0.9378
    0.7100    2.2500    1.0819    2.3623  0.011036  0.004392  0.021526  0.000983  0.020290  0.000850   -0.9305
    0.7500    0.8000    1.1947    0.7331  0.279594  0.045058  0.063023  0.014351  0.061011  0.002342   -0.9794
    0.7500    1.2500    1.1164    1.2436  0.077192  0.016725  0.072619  0.004775  0.053097  0.001697   -0.9370
    0.7500    1.7500    1.0805    1.9872 -0.003317  0.028335  0.059157  0.009755  0.037944  0.001624   -0.9927
    0.7500    2.2500    1.0615    2.2824  0.006858  0.010703  0.031626  0.003503  0.026773  0.001328   -0.9777
    0.7900    0.8000    1.1273    0.7260  0.372401  0.072637  0.155566  0.024849  0.111944  0.004052   -0.9775
    0.7900    1.2500    1.0779    1.2329  0.104633  0.022746  0.116009  0.006864  0.083073  0.002472   -0.9356
    0.8300    0.8000    1.0672    0.7190  0.446015  0.097005  0.326946  0.035237  0.192000  0.005991   -0.9765
    0.8300    1.2500    1.0420    1.2222  0.100278  0.031796  0.185160  0.009215  0.119727  0.003890   -0.9393
    0.8300    1.7500    1.0296    1.9617  0.042795  0.038373  0.087778  0.014302  0.071313  0.002217   -0.9942
