0.475	2.133	3.673	0.911	2.421
0.525	2.168	3.868	1.011	2.852
0.575	2.118	3.776	1.026	3.042
0.625	2.084	3.757	1.067	3.328
0.675	2.064	3.757	1.101	3.572
0.725	2.027	3.632	1.086	3.641
0.775	1.97	3.515	1.08	3.752
0.825	1.955	3.46	1.079	3.84
0.875	1.968	3.474	1.108	4.056
0.925	1.926	3.357	1.082	4.042
0.975	1.916	3.352	1.106	4.238
1.025	1.873	3.28	1.099	4.32
1.075	1.837	3.159	1.059	4.215
1.125	1.807	3.071	1.036	4.19
1.175	1.745	3.012	1.022	4.201
1.225	1.733	2.934	0.997	4.136
1.275	1.721	2.842	0.965	4.035
1.325	1.709	2.809	0.961	4.08
1.375	1.697	2.789	0.951	4.064
1.425	1.698	2.751	0.944	4.086
1.475	1.696	2.681	0.926	4.063
1.525	1.684	2.636	0.906	3.993
1.575	1.687	2.574	0.891	3.956
1.625	1.683	2.582	0.894	3.992
1.675	1.669	2.575	0.891	4.012
1.725	1.639	2.527	0.872	3.942
1.775	1.644	2.468	0.845	3.816
1.825	1.652	2.413	0.829	3.789
1.875	1.62	2.402	0.824	3.774
1.925	1.624	2.349	0.794	3.61
1.975	1.632	2.315	0.777	3.519
2.025	1.622	2.28	0.762	3.456
2.075	1.545	2.246	0.747	3.395
2.125	1.521	2.244	0.744	3.383
2.175	1.508	2.211	0.731	3.324
2.225	1.5	2.201	0.728	3.324
2.275	1.503	2.168	0.716	3.274
2.325	1.52	2.148	0.7	3.179
2.375	1.478	2.104	0.685	3.121
2.425	1.467	2.063	0.666	3.016
2.475	*1.486	2.054	0.661	2.991
2.525	*1.470	2.034	0.653	2.956
2.575	*1.469	2.032	0.656	2.99
2.625	*1.479	2.026	0.652	2.974
2.675	*1.445	1.986	0.637	2.914
2.725	*1.482	1.99	0.63	2.865
2.775	*1.478	1.961	0.623	2.819
2.825	*1.477	1.939	0.613	2.78
2.875		1.912	0.6	2.707
2.925		1.891	0.591	2.668
2.975		1.896	0.588	2.641
3.025		1.873	0.581	2.607
3.075		1.853	0.571	2.557
3.125		1.851	0.571	2.566
3.175		1.852	0.567	2.536
3.225		1.823	0.557	2.482
3.275		1.818	0.551	2.429
3.325		1.816	0.545	2.397
3.375		1.807	0.544	2.39
3.425		1.779	0.536	2.367
3.475		1.792	0.531	2.314
3.525		1.754	0.527	2.298
3.575		1.742	0.518	2.272
3.625		1.758	0.514	2.224
3.675		1.717	0.509	2.21
3.725		1.739	0.508	2.196
3.775		1.703	0.504	2.188
3.825		1.735	0.501	2.165
3.875		1.681	0.498	2.179
3.925		1.694	0.496	2.145
3.975		1.657	0.494	2.151
4.025		1.658	0.494	2.123
4.075		1.664	0.487	2.101
4.125		1.63	0.486	2.121
4.175		1.636	0.486	2.112
4.225		1.612	0.482	2.084
4.275		1.602	0.475	2.041
4.325		1.556	0.474	2.047
4.375		1.499	0.466	1.986
4.425		1.436	0.465	1.982
4.475		1.404	0.459	1.938
4.525		1.376	0.457	1.941
4.575		1.325	0.456	1.94
4.625		1.281	0.456	1.927
4.675		1.242	0.447	1.898
4.725		1.205	0.443	1.881
4.775		1.216	0.441	1.839
4.825		1.112	0.442	1.847
4.875		1.107	0.433	1.811
4.925		1.094	0.43	1.793
4.975		1.101	0.43	1.795
5.025		1.052	0.418	1.795
5.075		1.056	0.419	1.781
5.125		1.014	0.416	1.756
5.175		1.016	0.404	1.753
5.225		9.45	0.374	1.774
5.275		*9.443	0.361	1.737
5.325		*9.183	0.353	1.739
5.375		*9.232	0.343	1.71
5.425			0.336	1.706
5.475			0.329	1.704
5.525			0.313	1.647
5.625			0.306	1.643
5.925			0.299	1.603
5.955			0.287	1.472
6.915			0.285	1.389
7.267			0.256	1.363
7.63			0.257	1.308
8.021			0.25	1.274
8.847			0.223	1.215
9.775			0.206	1.146
10.267			*0.206	1.156
10.762			*0.196	1.115
11.344			*0.199	1.084
12.58				1.049
13.238				1.001
14.689				0.992
17.108				0.9
19.072				0.911
20.108				0.874
21.097				
24.259				
26.68				
32.5				
34.932				
36.75				0.767
43.97				
47.44				
64.27				0.699
75				
86				
97.69				0.672
